大阿	daa,da
大英国协	dayingguoxie,dygx
大英联合王国	dayinglianhewangguo,dylhwg
大英县	dayingxian,dyx
大盈	daying,dy
大盈库	dayingku,dyk
大庸	dayong,dy
大勇	dayong,dy
大勇若怯	dayongruoqie,dyrq
大用	dayong,dy
大优	dayou,dy
大忧	dayou,dy
大幽	dayou,dy
大油	dayou,dy
大猷	dayou,dy
大有	dayou,dy
大有裨益	dayoubiyi,dyby
大有见地	dayoujiandi,dyjd
大有径庭	dayoujingting,dyjt
大有迳庭	dayoujingting,dyjt
大有可观	dayoukeguan,dykg
大有可为	dayoukewei,dykw
大有年	dayounian,dyn
大有起色	dayouqise,dyqs
大有人在	dayourenzai,dyrz
大有为	dayouwei,dyw
大有文章	dayouwenzhang,dywz
大有希望	dayouxiwang,dyxw
大有之年	dayouzhinian,dyzn
大有作为	dayouzuowei,dyzw
大酉	dayou,dy
大宥	dayou,dy
大于	dayu,dy
大余	dayu,dy
大余县	dayuxian,dyx
大鱼吃小鱼	dayuchixiao,dycx
大鱼大肉	dayurou,dyr
大雩	dayu,dy
大愚	dayu,dy
大予	dayu,dy
大宇	dayu,dy
大屿山	dayushan,dys
大羽	dayu,dy
大羽箭	dayujian,dyj
大雨	dayu,dy
大雨般地	dayubande,dybd
大雨滂沱	dayupangtuo,dypt
大雨倾盆	dayuqingpen,dyqp
大雨如注	dayuruzhu,dyrz
大禹	dayu,dy
大禹治水	dayuzhishui,dyzs
大语	dayu,dy
大庾岭	dayuling,dyl
大玉	dayu,dy
大驭	dayu,dy
大狱	dayu,dy
大域	dayu,dy
大欲	dayu,dy
大遇	dayu,dy
大豫舞	dayuwu,dyw
大渊献	dayuanxian,dyx
大元大一统志	dayuanyitongzhi,dyytz
大元帅	dayuanshuai,dys
大员	dayuan,dy
大园	dayuan,dy
大园乡	dayuanxiang,dyx
大原	dayuan,dy
大圆	dayuan,dy
大圆镜智	dayuanjingzhi,dyjz
大圆圈	dayuanquan,dyq
大圆智	dayuanzhi,dyz
大援	dayuan,dy
大远	dayuan,dy
大院	dayuan,dy
大愿地藏菩萨	dayuandizangpusa,dydzps
大愿力	dayuanli,dyl
大约	dayue,dy
大约地	dayuede,dyd
大约摸	dayuemo,dym
大月	dayue,dy
大月氏	dayuezhi,dyz
大月支	dayuezhi,dyz
大岳	dayue,dy
大阅	dayue,dy
大跃进	dayuejin,dyj
大跃进运动	dayuejinyundong,dyjyd
大运	dayun,dy
大运河	dayunhe,dyh
大韵	dayun,dy
大杂烩	dazahui,dzh
大杂院	dazayuan,dzy
大灾	dazai,dz
大宰	dazai,dz
大臧	dazang,dz
大驵	dazang,dz
大葬	dazang,dz
大早	dazao,dz
大早计	dazaoji,dzj
大枣	dazao,dz
大灶	dazao,dz
大造	dazao,dz
大噪	dazao,dz
大噪鹛	dazaomei,dzm
大泽	daze,dz
大泽乡	dazexiang,dzx
大泽乡起义	dazexiangqiyi,dzxqy
大札	dazha,dz
大斋	dazhai,dz
大斋节	dazhaijie,dzj
大斋期	dazhaiqi,dzq
大宅	dazhai,dz
大寨	dazhai,dz
大展	dazhan,dz
大展宏图	dazhanhongtu,dzht
大展经纶	dazhanjinglun,dzjl
大战	dazhan,dz
大站	dazhan,dz
大张其词	dazhangqici,dzqc
大张旗鼓	dazhangqigu,dzqg
大张声势	dazhangshengshi,dzss
大张挞伐	dazhangtafa,dztf
大章	dazhang,dz
大章车	dazhangche,dzc
大璋	dazhang,dz
大长	dazhang,dz
大长公主	dazhanggongzhu,dzgz
大长今	dachangjin,dcj
大长秋	dachangqiu,dcq
大长嘴地鸫	dachangzuididong,dczdd
大丈夫	dazhangfu,dzf
大丈夫能屈能伸	dazhangfunengqushen,dzfnqs
大仗	dazhang,dz
大帐	dazhang,dz
大杖	dazhang,dz
大杖则走	dazhangzezou,dzzz
大招	dazhao,dz
大昭	dazhao,dz
大昭寺	dazhaosi,dzs
大折	dashe,ds
大着作	dazhezuo,dzz
大真	dazhen,dz
大阵仗	dazhenzhang,dzz
大烝	dazheng,dz
大正	dazheng,dz
大政	dazheng,dz
大政方针	dazhengfangzhen,dzfz
大政翼赞会	dazhengyizanhui,dzyzh
大知	dazhi,dz
大直若诎	dazhiruoqu,dzrq
大直若屈	dazhiruoqu,dzrq
大只	dazhi,dz
大旨	dazhi,dz
大恉	dazhi,dz
大指	dazhi,dz
大至	dazhi,dz
大志	dazhi,dz
大制	dazhi,dz
大治	dazhi,dz
大质	dazhi,dz
大致	dazhi,dz
大致地	dazhide,dzd
大智	dazhi,dz
大智大勇	dazhiyong,dzy
大智慧	dazhihui,dzh
大智如愚	dazhiruyu,dzry
大智若愚	dazhiruoyu,dzry
大中	dazhong,dz
大中丞	dazhongcheng,dzc
大中华	dazhonghua,dzh
大中人	dazhongren,dzr
大中学生	dazhongxuesheng,dzxs
大中至正	dazhongzhizheng,dzzz
大忠祠	dazhongci,dzc
大钟	dazhong,dz
大冢	dazhong,dz
大仲马	dazhongma,dzm
大众	dazhong,dz
大众部	dazhongbu,dzb
大众传播	dazhongchuanbo,dzcb
大众化	dazhonghua,dzh
大众捷运	dazhongjieyun,dzjy
大众汽车	dazhongqiche,dzqc
大众社会	dazhongshehui,dzsh
大众生活	dazhongshenghuo,dzsh
大众文化	dazhongwenhua,dzwh
大众语	dazhongyu,dzy
大众语文	dazhongyuwen,dzyw
大众运输	dazhongyunshu,dzys
大众哲学	dazhongzhexue,dzzx
大重	dazhong,dz
大洲	dazhou,dz
大轴	dazhou,dz
大轴戏	dazhouxi,dzx
大轴子	dazhouzi,dzz
大朱雀	dazhuque,dzq
大诛	dazhu,dz
大竹	dazhu,dz
大竹县	dazhuxian,dzx
大主教	dazhujiao,dzj
大主考	dazhukao,dzk
大祝	dazhu,dz
大著作	dazhuzuo,dzz
大筑	dazhu,dz
大专	dazhuan,dz
大专生	dazhuansheng,dzs
大专院校	dazhuanyuanxiao,dzyx
大转	dazhuan,dz
大篆	dazhuan,dz
大庄稼	dazhuangjia,dzj
大壮	dazhuang,dz
大壮舞	dazhuangwu,dzw
大资产阶级	dazichanjieji,dzcjj
大子	dazi,dz
大紫荆勋章	dazijingxunzhang,dzjxz
大紫胸鹦鹉	dazixiongyingwu,dzxyw
大字	dazi,dz
大字报	dazibao,dzb
大自流盆地	daziliupendi,dzlpd
大自然	daziran,dzr
大自在	dazizai,dzz
大渍	dazi,dz
大宗	dazong,dz
大宗伯	dazongbo,dzb
大宗师	dazongshi,dzs
大总	dazong,dz
大总统	dazongtong,dzt
大走	dazou,dz
大租	dazu,dz
大足	dazu,dz
大足石窟	dazushiku,dzsk
大足县	dazuxian,dzx
大卒	dazu,dz
大族	dazu,dz
大祖	dazu,dz
大嘴巴	dazuiba,dzb
大嘴鸟	dazuiniao,dzn
大嘴乌鸦	dazuiwuya,dzwy
大尊	dazun,dz
大樽	dazun,dz
大作	dazuo,dz
大坐	dazuo,dz
大做文章	dazuowenzhang,dzwz
