不阿	bue,be
不图	butu,bt
不徒	butu,bt
不屠何	butuhe,bth
不吐不快	butukuai,btk
不吐不茹	buturu,btr
不吐气	butuqi,btq
不抟	butuan,bt
不退	butui,bt
不褪色地	butuishaide,btsd
不讬	butuo,bt
不托	butuo,bt
不脱	butuo,bt
不妥	butuo,bt
不妥地	butuode,btd
不妥协	butuoxie,btx
不外	buwai,bw
不外乎	buwaihu,bwh
不外露	buwailu,bwl
不完备地	buwanbeide,bwbd
不完美	buwanmei,bwm
不完美地	buwanmeide,bwmd
不完全变态	buwanquanbiantai,bwqbt
不完全地	buwanquande,bwqd
不完全归纳推理	buwanquanguinatuili,bwqgntl
不完全叶	buwanquanye,bwqy
不完全中立	buwanquanzhongli,bwqzl
不完善	buwanshan,bws
不完善地	buwanshande,bwsd
不王	buwang,bw
不枉	buwang,bw
不忘沟壑	buwanggouhe,bwgh
不忘故旧	buwanggujiu,bwgj
不忘宿志	buwangsuzhi,bwsz
不望	buwang,bw
不违	buwei,bw
不违农时	buweinongshi,bwns
不惟	buwei,bw
不惟道	buweidao,bwd
不委	buwei,bw
不韪	buwei,bw
不卫生地	buweishengde,bwsd
不为	buwei,bw
不为过	buweiguo,bwg
不为酒困	buweijiukun,bwjk
不为名不为利	buweimingli,bwml
不为牛后	buweiniuhou,bwnh
不为人知	buweirenzhi,bwrz
不为所动	buweisuodong,bwsd
不为瓦全	buweiwaquan,bwwq
不为五斗米折腰	buweiwudoumizheyao,bwwdmzy
不为已甚	buweiyishen,bwys
不为左右袒	buweizuoyoutan,bwzyt
不畏	buwei,bw
不畏惧地	buweijude,bwjd
不畏强暴	buweiqiangbao,bwqb
不畏强权	buweiqiangquan,bwqq
不畏缩地	buweisuode,bwsd
不谓	buwei,bw
不温不火	buwenhuo,bwh
不瘟不火	buwenhuo,bwh
不文	buwen,bw
不文不武	buwenwu,bww
不闻不问	buwen,bw
不稳	buwen,bw
不稳便	buwenbian,bwb
不稳定	buwending,bwd
不稳定地	buwendengde,bwdd
不稳定气流	buwendingqiliu,bwdql
不稳平衡	buwenpingheng,bwph
不稳性	buwenxing,bwx
不问	buwen,bw
不问不闻	buwen,bw
不问好歹	buwenhaodai,bwhd
不问就听不到假话	buwenjiutingdaojiahua,bwjtdjh
不问年龄大小	buwennianlingdaxiao,bwnldx
不问青红皂白	buwenqinghongzaobai,bwqhzb
不问三七二十一	buwensanqiershiyi,bwsqesy
不问事实真相	buwenshizhenxiang,bwszx
不问是非曲直	buwenshifeiquzhi,bwsfqz
不问皂白	buwenzaobai,bwzb
不猧不魀	buwoga,bwg
不诬	buwu,bw
不无	buwu,bw
不无小补	buwuxiao,bwx
不武	buwu,bw
不舞之鹤	buwuzhihe,bwzh
不务空名	buwukongming,bwkm
不务正业	buwuzhengye,bwzy
不物	buwu,bw
不误	buwu,bw
不误间	buwujian,bwj
不寤	buwu,bw
不夕	buxi,bx
不息	buxi,bx
不悉	buxi,bx
不惜	buxi,bx
不惜工本	buxigongben,bxgb
不惜工本地	buxigongbende,bxgbd
不惜血本	buxixueben,bxxb
不惜一切代价	buxiyiqiedaijia,bxyqdj
不惜一战	buxiyizhan,bxyz
不习地土	buxiditu,bxdt
不习惯地	buxiguande,bxgd
不习水土	buxishuitu,bxst
不習水土	buxishuitu,bxst
不戏	buxi,bx
不系	buxi,bx
不系舟	buxizhou,bxz
不暇	buxia,bx
不瑕	buxia,bx
不下	buxia,bx
不下于	buxiayu,bxy
不下雨	buxiayu,bxy
不忺	buxian,bx
不鲜	buxian,bx
不鲜明地	buxianmingde,bxmd
不闲	buxian,bx
不贤	buxian,bx
不贤都头	buxiandutou,bxdt
不咸	buxian,bx
不咸不淡	buxiandan,bxd
不显	buxian,bx
不显山	buxianshan,bxs
不显山不露水	buxianshanlushui,bxsls
不显水	buxianshui,bxs
不显彦章	buxianyanzhang,bxyz
不显着地	buxianzhede,bxzd
不羡	buxian,bx
不相称	buxiangchen,bxc
不相称地	buxiangchende,bxcd
不相登	buxiangdeng,bxd
不相等地	buxiangdengde,bxdd
不相放	buxiangfang,bxf
不相符	buxiangfu,bxf
不相干	buxianggan,bxg
不相能	buxiangneng,bxn
不相容	buxiangrong,bxr
不相容地	buxiangrongde,bxrd
不相容原理	buxiangrongyuanli,bxryl
不相上下	buxiangshangxia,bxsx
不相同地	buxiangtongde,bxtd
不相投	buxiangtou,bxt
不相为谋	buxiangweimou,bxwm
不相闻问	buxiangwen,bxw
不相问闻	buxiangwen,bxw
不相信地	buxiangxinde,bxxd
不相中	buxiangzhong,bxz
不香吗	buxiangma,bxm
不详	buxiang,bx
不祥	buxiang,bx
不祥地	buxiangde,bxd
不祥之兆	buxiangzhizhao,bxzz
不享	buxiang,bx
不想	buxiang,bx
不想出	buxiangchu,bxc
不想道	buxiangdao,bxd
不象	buxiang,bx
不象话	buxianghua,bxh
不象事	buxiangshi,bxs
不像	buxiang,bx
不像话	buxianghua,bxh
不像样	buxiangyang,bxy
不像意	buxiangyi,bxy
不消	buxiao,bx
不消得	buxiaode,bxd
不消说	buxiaoshuo,bxs
不销	buxiao,bx
不小可	buxiaoke,bxk
不小心地	buxiaoxinde,bxxd
不晓世务	buxiaoshiwu,bxsw
不晓事	buxiaoshi,bxs
不孝	buxiao,bx
不肖	buxiao,bx
不肖子	buxiaozi,bxz
不肖子孙	buxiaozisun,bxzs
不効	buxiao,bx
不效	buxiao,bx
不校	bujiao,bj
不歇	buxie,bx
不协	buxie,bx
不协调	buxietiao,bxt
不协调地	buxietiaode,bxtd
不谐	buxie,bx
不谐当	buxiedang,bxd
不携	buxie,bx
不卸	buxie,bx
不屑	buxie,bx
不屑地说	buxiedeshuo,bxds
不屑毁誉	buxiehuiyu,bxhy
不屑教诲	buxiejiaohui,bxjh
不屑一读	buxieyidu,bxyd
不屑一顾	buxieyigu,bxyg
不屑意	buxieyi,bxy
不屑于	buxieyu,bxy
不屑置辩	buxiezhibian,bxzb
不谢	buxie,bx
不懈	buxie,bx
不懈怠	buxiedai,bxd
不懈地	buxiede,bxd
不新鲜	buxinxian,bxx
不信	buxin,bx
不信任案	buxinrenan,bxra
不信任动议	buxinrendongyi,bxrdy
不信任投票	buxinrentoupiao,bxrtp
不信神地	buxinshende,bxsd
不信相地	buxinxiangde,bxxd
不信邪	buxinxie,bxx
不信用	buxinyong,bxy
不惺憽	buxingsong,bxs
不惺惺	buxing,bx
不行	buxing,bx
不行了	buxingle,bxl
不形	buxing,bx
不醒	buxing,bx
不兴	buxing,bx
不幸	buxing,bx
不幸地	buxingde,bxd
不幸地成为	buxingdechengwei,bxdcw
不幸而言中	buxingeryanzhong,bxeyz
不幸受害	buxingshouhai,bxsh
不幸言中	buxingyanzhong,bxyz
不幸之事	buxingzhishi,bxzs
不幸之幸	buxingzhi,bxz
不休	buxiu,bx
不休息地	buxiuxide,bxxd
不修	buxiu,bx
不修边幅	buxiubianfu,bxbf
不修小节	buxiuxiaojie,bxxj
不羞	buxiu,bx
不羞当面	buxiudangmian,bxdm
不羞见	buxiujian,bxj
不脩边幅	buxiubianfu,bxbf
不朽	buxiu,bx
不朽地	buxiude,bxd
不秀气	buxiuqi,bxq
不锈钢	buxiugang,bxg
不锈铁	buxiutie,bxt
不胥时	buxushi,bxs
不须	buxu,bx
不须鞭	buxubian,bxb
不虚此行	buxucixing,bxcx
不虚伪地	buxuweide,bxwd
不徐不疾	buxuji,bxj
不许	buxu,bx
不许百姓点灯	buxubaixingdiandeng,bxbxdd
不许可地	buxukede,bxkd
不序	buxu,bx
不恤	buxu,bx
不恤人言	buxurenyan,bxry
不宣	buxuan,bx
不宣而战	buxuanerzhan,bxez
不谖	buxuan,bx
不旋跬	buxuankui,bxk
不旋时	buxuanshi,bxs
不旋踵	buxuanzhong,bxz
不学	buxue,bx
不学好	buxuehao,bxh
不学面墙	buxuemianqiang,bxmq
不学无识	buxuewushi,bxws
不学无术	buxuewushu,bxws
不血食	buxueshi,bxs
不寻常地	buxunchangde,bxcd
不寻思	buxinsi,bxs
不寻俗	buxunsu,bxs
不徇	buxun,bx
不徇私情	buxunsiqing,bxsq
不逊	buxun,bx
不逊地	buxunde,bxd
不涯	buya,by
不哑不聋	buyalong,byl
不雅	buya,by
不雅地	buyade,byd
不雅观	buyaguan,byg
不雅观地	buyaguande,bygd
不亚	buya,by
不亚于	buyayu,byy
不淹时	buyanshi,bys
不延迟地	buyanchide,bycd
不严格地	buyangede,bygd
不严密地	buyanmide,bymd
不言	buyan,by
不言不语	buyanyu,byy
不言而信	buyanerxin,byex
不言而谕	buyaneryu,byey
不言而喻	buyaneryu,byey
不言自明	buyanziming,byzm
不厌	buyan,by
不厌倦地	buyanjuande,byjd
不厌其烦	buyanqifan,byqf
不厌其烦地	buyanqifande,byqfd
不厌其繁	buyanqifan,byqf
不厌其详	buyanqixiang,byqx
不扬	buyang,by
不飏	buyang,by
不恙	buyang,by
不烑	buyao,by
不药	buyao,by
不药而愈	buyaoeryu,byey
不要	buyao,by
不要紧	buyaojin,byj
不要脸	buyaolian,byl
不要脸地	buyaoliande,byld
不要盲目地	buyaomangmude,bymmd
不要怕	buyaopa,byp
不要想当然地	buyaoxiangdangrande,byxdrd
不要有意识地	buyaoyouyishide,byyysd
不要在一棵树上吊死	buyaozaiyikeshushangdiaosi,byzykssds
不噎之鸟	buyezhiniao,byzn
不夜	buye,by
不夜城	buyecheng,byc
不夜侯	buyehou,byh
不夜珠	buyezhu,byz
不一	buyi,by
不一定	buyiding,byd
不一端	buyiduan,byd
不一而足	buyierzu,byez
不一会	buyihui,byh
不一会儿	buyihuier,byhe
不一样	buyiyang,byy
不一一	buyi,by
不一致地	buyizhide,byzd
不一致字	buyizhizi,byzz
不依	buyi,by
不依不饶	buyirao,byr
不壹而三	buyiersan,byes
不壹而足	buyierzu,byez
不仪	buyi,by
不夷	buyi,by
不夷不惠	buyihui,byh
不宜	buyi,by
不怡	buyi,by
不移	buyi,by
不移晷	buyigui,byg
不移日	buyiri,byr
不移时	buyishi,bys
不移阴	buyiyin,byy
不遗寸长	buyicunchang,bycc
不遗巨细	buyijuxi,byjx
不遗余力	buyiyuli,byyl
不遗余力地	buyiyulide,byyld
不遗余力地宣传	buyiyulidexuanchuan,byyldxc
不疑地	buyide,byd
不已	buyi,by
不以	buyi,by
不以词害志	buyicihaizhi,bychz
不以辞害志	buyicihaizhi,bychz
不以规矩	buyiguiju,bygj
不以人废言	buyirenfeiyan,byrfy
不以为耻	buyiweichi,bywc
不以为奇	buyiweiqi,bywq
不以为然	buyiweiran,bywr
不以为意	buyiwei,byw
不以一眚掩大德	buyishengyandade,bysydd
不以语人	buyiyuren,byyr
不乂	buyi,by
不义	buyi,by
不义地	buyide,byd
不义之财	buyizhicai,byzc
不亿	buyi,by
不亦	buyi,by
不亦乐乎	buyilehu,bylh
不亦善夫	buyishanfu,bysf
不亦说乎	buyiyuehu,byyh
不异	buyi,by
不怿	buyi,by
不易	buyi,by
不易地	buyide,byd
不易弯地	buyiwande,bywd
不易一字	buyizi,byz
不易之典	buyizhidian,byzd
不易之论	buyizhilun,byzl
不谊	buyi,by
不意	buyi,by
不翼而飞	buyierfei,byef
不因不由	buyinyou,byy
不因人热	buyinrenre,byrr
不因一事	buyinyishi,byys
不阴不阳	buyinyang,byy
不殷勤地	buyinqinde,byqd
不淫	buyin,by
不饮盗泉	buyindaoquan,bydq
不隐瞒地	buyinmande,bymd
不慭	buyin,by
不慭遗	buyinyi,byy
不应	buying,by
不应当地	buyingdangde,bydd
不应得地	buyingde,byd
不应期	buyingqi,byq
不盈	buying,by
不营	buying,by
不赢	buying,by
不永	buyong,by
不用	buyong,by
不用客气	buyongkeqi,bykq
不用说	buyongshuo,bys
不用谢	buyongxie,byx
不用找	buyongzhao,byz
不优美地	buyoumeide,bymd
不幽默地	buyoumode,bymd
不嚘	buyou,by
不由	buyou,by
不由得	buyoude,byd
不由分说	buyoufenshuo,byfs
不由人	buyouren,byr
不由自主	buyouzizhu,byzz
不由自主地	buyouzizhude,byzzd
不犹疑地	buyouyide,byyd
不犹豫地	buyouyude,byyd
不友	buyou,by
不友好地	buyouhaode,byhd
不友好地对待	buyouhaodeduidai,byhddd
不友善地	buyoushande,bysd
不有	buyou,by
不愉	buyu,by
不愉快	buyukuai,byk
不愉快地	buyukuaide,bykd
不渝	buyu,by
不逾时	buyushi,bys
不虞	buyu,by
不虞之隙	buyuzhixi,byzx
不虞之誉	buyuzhi,byz
不踰矩	buyuju,byj
不踰时	buyushi,bys
不与	buyu,by
不予	buyu,by
不予理会	buyulihui,bylh
不予评论	buyupinglun,bypl
不予置评	buyuzhiping,byzp
不语	buyu,by
不语兵	buyubing,byb
不语先生	buyuxiansheng,byxs
不聿	buyu,by
不育	buyu,by
不育性	buyuxing,byx
不育症	buyuzheng,byz
不预则废	buyuzefei,byzf
不遇	buyu,by
不遇时	buyushi,bys
不豫	buyu,by
不豫则废	buyuzefei,byzf
不圆	buyuan,by
不圆通	buyuantong,byt
不远千里	buyuanqianli,byql
不远万里	buyuanwanli,bywl
不怨地	buyuande,byd
不怨天不怨地	buyuantiande,bytd
不愿	buyuan,by
不愿意地	buyuanyide,byyd
不噮	buyuan,by
不约而同	buyueertong,byet
不约而同地	buyueertongde,byetd
不月	buyue,by
不悦	buyue,by
不悦地	buyuede,byd
不越雷池	buyueleichi,bylc
不允	buyun,by
不允许地	buyunxude,byxd
不孕	buyun,by
不孕症	buyunzheng,byz
不愠不火	buyunhuo,byh
不韵	buyun,by
不杂	buza,bz
不咋地	buzade,bzd
不咋的	buzade,bzd
不宰	buzai,bz
不再	buzai,bz
不在	buzai,bz
不在乎	buzaihu,bzh
不在乎地	buzaihude,bzhd
不在话下	buzaihuaxia,bzhx
不在了	buzaile,bzl
不在其位	buzaiqiwei,bzqw
不在其位不谋其政	buzaiqiweimouzheng,bzqwmz
不在行	buzaihang,bzh
不在意	buzaiyi,bzy
不在意地	buzaiyide,bzyd
不在状态	buzaizhuangtai,bzzt
不赞成	buzancheng,bzc
不赞成地	buzanchengde,bzcd
不赞一词	buzanyici,bzyc
不臧	buzang,bz
不遭时	buzaoshi,bzs
不凿	buzao,bz
不早当晚	buzaodangwan,bzdw
不早当晩	buzaodangwan,bzdw
不皂	buzao,bz
不造	buzao,bz
不则	buze,bz
不则声	buzesheng,bzs
不择	buze,bz
不择生冷	buzeshengleng,bzsl
不择手段	buzeshouduan,bzsd
不怎么	buzenme,bzm
不怎么样	buzenmeyang,bzmy
不扎	buzha,bz
不眨眼地	buzhayande,bzyd
不沾	buzhan,bz
不沾锅	buzhanguo,bzg
不粘锅	bunianguo,bng
不斩	buzhan,bz
不斩来使	buzhanlaishi,bzls
不斩眼	buzhanyan,bzy
不占之书	buzhanzhishu,bzzs
不战不和	buzhanhe,bzh
不战而降	buzhanerxiang,bzex
不战而胜	buzhanersheng,bzes
不彰	buzhang,bz
不长进	buzhangjin,bzj
不长俊	buzhangjun,bzj
不长心	buzhangxin,bzx
不长眼睛	buzhangyanjing,bzyj
不长一智	buzhangyizhi,bzyz
不丈夫	buzhangfu,bzf
不杖期	buzhangqi,bzq
不招架	buzhaojia,bzj
不照	buzhao,bz
不折不扣	buzhekou,bzk
不哲	buzhe,bz
不着	buzhao,bz
不着边际	buzhuobianji,bzbj
不着调	buzhaodiao,bzd
不着坟墓	buzhaofenmu,bzfm
不着痕迹	buzhuohenji,bzhj
不着家	buzhaojia,bzj
不着陆飞行	buzhuolufeixing,bzlfx
不着情	buzhaoqing,bzq
不着人	buzhaoren,bzr
不着疼热	buzhuotengre,bztr
不着意	buzhuoyi,bzy
不贞地	buzhende,bzd
不真诚地恋爱	buzhenchengdelianai,bzcdla
不斟	buzhen,bz
不臻	buzhen,bz
不枕	buzhen,bz
不振	buzhen,bz
不震	buzhen,bz
不争	buzheng,bz
不争多	buzhengduo,bzd
不争气	buzhengqi,bzq
不征	buzheng,bz
不蒸馒头争口气	buzhengmantoukouqi,bzmtkq
不整洁地	buzhengjiede,bzjd
不整齐地	buzhengqide,bzqd
不正	buzheng,bz
不正常	buzhengchang,bzc
不正常地	buzhengchangde,bzcd
不正常状况	buzhengchangzhuangkuang,bzczk
不正当	buzhengdang,bzd
不正当地	buzhengdangde,bzdd
不正当地使用	buzhengdangdeshiyong,bzddsy
不正当关系	buzhengdangguanxi,bzdgx
不正当竞争	buzhengdangjing,bzdj
不正地	buzhengde,bzd
不正确	buzhengque,bzq
不正确地	buzhengquede,bzqd
不正之风	buzhengzhifeng,bzzf
不正直地	buzhengzhide,bzzd
不支	buzhi,bz
不知	buzhi,bz
不知不觉	buzhijue,bzj
不知不觉地	buzhijuede,bzjd
不知颠倒	buzhidiandao,bzdd
不知丁董	buzhidingdong,bzdd
不知薡蕫	buzhidingdong,bzdd
不知端倪	buzhiduanni,bzdn
不知凡几	buzhifanji,bzfj
不知甘苦	buzhiganku,bzgk
不知高低	buzhigaodi,bzgd
不知高下	buzhigaoxia,bzgx
不知好歹	buzhihaodai,bzhd
不知何故	buzhihegu,bzhg
不知纪极	buzhiji,bzj
不知进退	buzhijintui,bzjt
不知就里	buzhijiuli,bzjl
不知觉地	buzhijuede,bzjd
不知老之将至	buzhilaojiang,bzlj
不知利害	buzhilihai,bzlh
不知量	buzhiliang,bzl
不知名地	buzhimingde,bzmd
不知疲倦	buzhipijuan,bzpj
不知其二	buzhiqier,bzqe
不知其可	buzhiqike,bzqk
不知其详	buzhiqixiang,bzqx
不知起倒	buzhiqidao,bzqd
不知寝食	buzhiqinshi,bzqs
不知轻重	buzhiqingzhong,bzqz
不知情地	buzhiqingde,bzqd
不知去向	buzhiquxiang,bzqx
不知人	buzhiren,bzr
不知人间有羞耻事	buzhirenjianyouxiuchishi,bzrjyxcs
不知肉味	buzhirouwei,bzrw
不知深浅	buzhishenqian,bzsq
不知世务	buzhishiwu,bzsw
不知死活	buzhisihuo,bzsh
不知所出	buzhisuochu,bzsc
不知所厝	buzhisuocuo,bzsc
不知所措	buzhisuocuo,bzsc
不知所错	buzhisuocuo,bzsc
不知所可	buzhisuoke,bzsk
不知所为	buzhisuowei,bzsw
不知所谓	buzhisuowei,bzsw
不知所言	buzhisuoyan,bzsy
不知所以	buzhisuoyi,bzsy
不知所云	buzhisuoyun,bzsy
不知所之	buzhisuo,bzs
不知所终	buzhisuozhong,bzsz
不知疼痒	buzhitengyang,bzty
不知天高地厚	buzhitiangaodihou,bztgdh
不知痛痒	buzhitongyang,bzty
不知头脑	buzhitounao,bztn
不知为不知	buzhiwei,bzw
不知香臭	buzhixiangchou,bzxc
不知羞耻	buzhixiuchi,bzxc
不知有汉	buzhiyouhan,bzyh
不知怎么地	buzhizenmede,bzzmd
不知者不罪	buzhizhezui,bzzz
不知自爱	buzhiziai,bzza
不知自量	buzhiziliang,bzzl
不知足地	buzhizude,bzzd
不脂户	buzhihu,bzh
不直	buzhi,bz
不直一钱	buzhiyiqian,bzyq
不直一文	buzhiyiwen,bzyw
不值	buzhi,bz
不值当	buzhidang,bzd
不值得	buzhide,bzd
不值得地	buzhide,bzd
不值钱	buzhiqian,bzq
不值识者一笑	buzhishizheyixiao,bzszyx
不值一驳	buzhiyibo,bzyb
不值一顾	buzhiyigu,bzyg
不值一钱	buzhiyiqian,bzyq
不值一哂	buzhiyishen,bzys
不值一提	buzhiyiti,bzyt
不值一文	buzhiyiwen,bzyw
不值一笑	buzhiyixiao,bzyx
不职	buzhi,bz
不殖	buzhi,bz
不止	buzhi,bz
不止不行	buzhixing,bzx
不止一次	buzhiyici,bzyc
不只	buzhi,bz
不至	buzhi,bz
不至紧	buzhijin,bzj
不至于	buzhiyu,bzy
不忮不求	buzhiqiu,bzq
不治	buzhi,bz
不治而愈	buzhieryu,bzey
不治狐狸	buzhihuli,bzhl
不治之症	buzhizheng,bzz
不栉	buzhi,bz
不栉才人	buzhicairen,bzcr
不栉进士	buzhijinshi,bzjs
不致	buzhi,bz
不智	buzhi,bz
不智地	buzhide,bzd
不置	buzhi,bz
不置褒贬	buzhibaobian,bzbb
不置可否	buzhikefou,bzkf
不中	buzhong,bz
不中听	buzhongting,bzt
不中意	buzhongyi,bzy
不中用	buzhongyong,bzy
不中訾	buzhongzi,bzz
不忠地	buzhongde,bzd
不忠实地	buzhongshide,bzsd
不终	buzhong,bz
不终朝	buzhongzhao,bzz
不终天年	buzhongtiannian,bztn
不终之药	buzhongzhiyao,bzzy
不衷	buzhong,bz
不重要	buzhongyao,bzy
不重要地	buzhongyaode,bzyd
不周	buzhou,bz
不周风	buzhoufeng,bzf
不周山	buzhoushan,bzs
不周延	buzhouyan,bzy
不主故常	buzhuguchang,bzgc
不住	buzhu,bz
不住地	buzhude,bzd
不住地颤抖	buzhudechandou,bzdcd
不住地咳嗽	buzhudekesou,bzdks
不住地后退	buzhudehoutui,bzdht
不住地磕头	buzhudeketou,bzdkt
不住地呕吐	buzhudeoutu,bzdot
不住地说	buzhudeshuo,bzds
不住地淌	buzhudetang,bzdt
不住地跳	buzhudetiao,bzdt
不住气	buzhuqi,bzq
不住子	buzhuzi,bzz
不注意	buzhuyi,bzy
不注意地	buzhuyide,bzyd
不转睛	buzhuanjing,bzj
不转头	buzhuantou,bzt
不转眼	buzhuanyan,bzy
不庄	buzhuang,bz
不撞南墙不回头	buzhuangnanqianghuitou,bznqht
不追既往	buzhuijiwang,bzjw
不坠	buzhui,bz
不赘	buzhui,bz
不准	buzhun,bz
不准确	buzhunque,bzq
不准许	buzhunxu,bzx
不斵	buzhuo,bz
不赀	buzi,bz
不资	buzi,bz
不子	buzi,bz
不仔细地	buzixide,bzxd
不訾	buzi,bz
不訾之器	buzizhiqi,bzzq
不字	buzi,bz
不自禁	buzijin,bzj
不自觉	buzijue,bzj
不自觉地	buzijuede,bzjd
不自觉地出现	buzijuedechuxian,bzjdcx
不自量	buziliang,bzl
不自量力	buziliangli,bzll
不自聊	buziliao,bzl
不自料	buziliao,bzl
不自满假	buzimanjia,bzmj
不自然	buziran,bzr
不自然地	buzirande,bzrd
不自胜	buzisheng,bzs
不自私地	buziside,bzsd
不自喜	buzixi,bzx
不自意	buziyi,bzy
不自由	buziyou,bzy
不自在	buzizai,bzz
不走落	buzouluo,bzl
不足	buzu,bz
不足齿数	buzuchishu,bzcs
不足道	buzudao,bzd
不足道地	buzudaode,bzdd
不足地	buzude,bzd
不足多	buzuduo,bzd
不足挂齿	buzuguachi,bzgc
不足介意	buzujieyi,bzjy
不足轻重	buzuqingzhong,bzqz
不足取	buzuqu,bzq
不足取地	buzuqude,bzqd
不足数	buzushu,bzs
不足为道	buzuweidao,bzwd
不足为法	buzuweifa,bzwf
不足为怪	buzuweiguai,bzwg
不足为据	buzuweiju,bzwj
不足为虑	buzuweilu,bzwl
不足为凭	buzuweiping,bzwp
不足为奇	buzuweiqi,bzwq
不足为外人道	buzuweiwairendao,bzwwrd
不足为训	buzuweixun,bzwx
不足为意	buzuweiyi,bzwy
不足惜	buzuxi,bzx
不足信	buzuxin,bzx
不足兴	buzuxing,bzx
不足言	buzuyan,bzy
不足与谋	buzuyumou,bzym
不足月	buzuyue,bzy
不醉不归	buzuigui,bzg
不作	buzuo,bz
不作声	buzuosheng,bzs
不作死就不会死	buzuosijiuhui,bzsjh
不作为	buzuowei,bzw
不作兴	buzuoxing,bzx
不作浊富	buzuozhuofu,bzzf
不做不休	buzuoxiu,bzx
不做美	buzuomei,bzm
不做人	buzuoren,bzr
不做肉	buzuorou,bzr
不做声	buzuosheng,bzs
